lam,beta,w0,wa,EDE,fs8_0,nec_ok,ede_ok,w0_in_range,valid
1.0,0.02,-0.8579928807022045,-0.20295077519671156,0.0001220748076644486,0.25934204988632564,True,True,True,True
1.0,0.03,-0.8625189488433214,-0.20825591031372906,0.0002745280994650419,0.25940170452336675,True,True,True,True
1.0,0.04,-0.8670670330201226,-0.21335179413354224,0.0004877044065513386,0.2596721137643682,True,True,True,True
1.0,0.05,-0.8716422808910637,-0.21823146949124417,0.0007613456229266032,0.2601539556493517,True,True,True,True
1.1,0.0,-0.815938054988905,-0.22560489724122604,1.7134631668251245e-09,0.2588896674541495,True,True,True,True
1.1,0.01,-0.8210258805438868,-0.23190102604113208,3.052911650992749e-05,0.2587618339804516,True,True,True,True
1.1,0.02,-0.8258151001826307,-0.23798580499569,0.00012207485062549784,0.2584093974174494,True,True,True,True
1.1,0.03,-0.8309654860422573,-0.24393367178273864,0.0002745281204933246,0.25868408718874203,True,True,True,True
1.1,0.04,-0.8358205735275083,-0.24966367307930779,0.000487704414606189,0.2587408016367056,True,True,True,True
1.1,0.05,-0.8410598457083123,-0.25524552643485027,0.0007613456174476238,0.25942345044622867,True,True,True,True
1.2,0.0,-0.7792117626722447,-0.2599858426417008,1.83284986527725e-09,0.25789294616919406,True,True,True,True
1.2,0.01,-0.7849262306940289,-0.2668777607823233,3.052919711641666e-05,0.2579731291078527,True,True,True,True
1.2,0.02,-0.7903157815597154,-0.2735672845253872,0.0001220749007287391,0.25783672175908756,True,True,True,True
1.2,0.03,-0.7957540225346933,-0.2801140537094926,0.0002745281516438569,0.25789675134116824,True,True,True,True
1.2,0.04,-0.8012477802930504,-0.2865151399134847,0.00048770442688953223,0.2581539918627443,True,True,True,True
1.2,0.05,-0.8068032578505411,-0.2927655767156523,0.0007613456190352089,0.2586092966763761,True,True,True,True
1.3,0.0,-0.7387572844653805,-0.29404682875723703,1.977131364690916e-09,0.2569818167944025,True,True,True,True
1.3,0.01,-0.7447190346014133,-0.3014574432865971,3.052930316126468e-05,0.25685427552667006,True,True,True,True
