lam,beta,w0,wa,fs8_0,EDE,G_eff,fs8_ratio
1.2,0.125,-0.8461446689082648,-0.33350521192645766,0.26395225420539015,0.004695613485911568,1.03125,1.0076752412226777
1.2,0.15,-0.8586829096276783,-0.3443968289026238,0.2668448500776733,0.0067146112818335275,1.045,1.018718137037822
1.2,0.175,-0.8708556102639489,-0.3537152860973656,0.2702267967321621,0.009063970493822108,1.06125,1.031629199006675
1.2,0.2,-0.8827071241478055,-0.3612906271744409,0.2741457124223597,0.011725719312656094,1.08,1.046590216579112
1.3,0.0,-0.7387572844653805,-0.29404682875723703,0.2569818167944025,1.977131364690916e-09,1.0,0.9810646058231445
1.3,0.025,-0.7536186727358279,-0.3123442355067428,0.2568639456001954,0.00019069794672703147,1.00125,0.9806146157883427
1.3,0.05,-0.7683756011036225,-0.3298542658264255,0.25743960456761883,0.0007613456313061671,1.005,0.9828122757045527
1.3,0.075,-0.7826299595144417,-0.3464125631918655,0.2583559329129344,0.001707627827944899,1.01125,0.9863104893840863
1.3,0.1,-0.7968690875102111,-0.3620441665565651,0.26002699109841776,0.0030223763274460904,1.02,0.9926899914846585
1.3,0.125,-0.811624807141889,-0.3766960497341834,0.26286477124396995,0.0046956134688253765,1.03125,1.0035236204730327
1.3,0.15,-0.8250632724102714,-0.3899609581463779,0.2653877263578686,0.006714611265688888,1.045,1.0131553601626417
1.3,0.175,-0.8391280284816626,-0.40189986710153874,0.26916092755107474,0.009063970480361809,1.06125,1.0275600919350292
1.3,0.2,-0.8529246215111294,-0.41218292184969135,0.27347584030853345,0.011725719306435683,1.08,1.044032884587687
1.4,0.0,-0.6941352151461434,-0.3267582017653287,0.2559176801376893,2.1598765925842935e-09,1.0,0.9770021129095094
1.4,0.025,-0.7101636518214446,-0.3464730513585186,0.25585610466821024,0.0001906980215839311,1.00125,0.9767670398041575
1.4,0.05,-0.7261297024212006,-0.3656139822480698,0.25646101290018475,0.0007613456510643036,1.005,0.9790763629444638
1.4,0.075,-0.7415947740402042,-0.3839759052961192,0.2574015200198395,0.0017076278227473394,1.01125,0.9826668825311322
1.4,0.1,-0.7570992059336185,-0.4016374813854469,0.2590728946174972,0.0030223763131339457,1.02,0.9890475925801461
1.4,0.125,-0.7721926143114799,-0.4183700710329952,0.26114879411349745,0.004695613456087103,1.03125,0.9969726339164415
1.4,0.15,-0.7879794640178035,-0.4342944325776335,0.26438814838638686,0.006714611251766447,1.045,1.0093393292044444
1.4,0.175,-0.8034895152066214,-0.4489758515885288,0.2681177890893159,0.00906397046925925,1.06125,1.0235777626147289
1.4,0.2,-0.8182511648342357,-0.46220545391687523,0.2720261185414203,0.011725719301759268,1.08,1.0384983657188132
1.5,0.0,-0.6448180016438108,-0.3568514632036035,0.2545607880904534,2.3995808900524666e-09,1.0,0.971821984688488
1.5,0.025,-0.6619677720476111,-0.3779238076779282,0.2545233423558906,0.00019069812552286778,1.00125,0.9716790302753047
1.5,0.05,-0.6785623072913033,-0.39845083419699084,0.2547831412482598,0.000761345690253019,1.005,0.9726708494674751
1.5,0.075,-0.6957173277018315,-0.41879627831397825,0.2560565903901307,0.001707627826833738,1.01125,0.977532422539024
1.5,0.1,-0.712433168050379,-0.4384929746751962,0.2576938616729664,0.0030223763049214603,1.02,0.9837829383372131
1.5,0.125,-0.72931983424121,-0.45766436251352055,0.26007054411275404,0.004695613444889427,1.03125,0.9928562613062951
1.5,0.15,-0.7458902980761679,-0.47600836622155146,0.26288889772284707,0.0067146112412170425,1.045,1.0036157267348094
1.5,0.175,-0.7627927913865747,-0.4935627038976997,0.266533475382584,0.00906397046065915,1.06125,1.0175294198892253
1.5,0.2,-0.7795415252671506,-0.5099653148956322,0.27071867880931594,0.011725719298060164,1.08,1.033507028738576
